spkid,pdes,full_name,neo,pha,H,epoch,e,a,q,i,om,w,ma,tp,per_y,moid,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,condition_code,n_obs_used,data_arc
20419880,419880,419880 (2011 AH37),Y,Y,19.83,2461200.5,0.6718721826331433,2.548312600875486,0.8361722516937311,9.658927853351388,102.0358440844591,322.4157528637119,301.8800066075038,2461440.383587381,4.06805911134193,0.035065,2.1645e-08,9.7377e-09,5.4078e-08,9.8758e-06,4.0892e-05,4.0643e-05,4.1088e-06,0.0,190,4561.0
20420210,420210,420210 (2011 HF),Y,Y,20.43,2461200.5,0.234670848104733,1.283490409142582,0.9822926262948014,10.62296413336583,204.8725857302605,149.6520275541485,13.8865085858845,2461180.0130204107,1.45410960754569,0.00999253,4.1849e-08,4.1305e-09,5.2446e-08,4.6123e-06,1.6023e-05,1.7549e-05,1.72e-05,0.0,226,4742.0
20422686,422686,422686 (2000 AC6),Y,Y,21.6,2461200.5,0.2865178724384863,0.853713977824861,0.6091096652274848,4.700065902049597,101.333345726727,188.058503834745,4.767347329408193,2461196.684589168,0.788817960627012,0.0460999,3.0819e-08,9.8639e-10,2.6061e-08,3.5129e-06,1.622e-05,2.1873e-05,1.8262e-05,0.0,464,9513.0
20422699,422699,422699 (2000 PD3),Y,Y,18.28,2461200.5,0.5919157368526782,1.998632178202016,0.8156103397440965,7.700698258018522,298.6240230986292,110.2557495146697,20.53507779131184,2461141.630331336,2.82557939725684,0.0270973,2.8778e-08,4.6356e-09,5.7369e-08,7.0842e-06,3.1478e-05,3.2316e-05,4.6445e-06,0.0,528,8630.0
20422787,422787,422787 (2001 WS1),Y,Y,17.03,2461200.5,0.6179422834114804,2.592479683265474,0.9904768680905356,13.23277398075926,1.275330465542803,5.22297082414246,316.7355463610006,2461383.7315233015,4.17427680503114,0.0116021,1.4704e-08,2.794e-09,3.8372e-08,4.4723e-06,1.7247e-05,1.7873e-05,1.3319e-06,0.0,1349,10549.0
20423321,423321,423321 (2005 ED318),Y,Y,20.9,2461200.5,0.45019947543411,1.849857623798488,1.01705269193662,2.389861198543406,82.03920784339374,164.36051951,130.4856127021029,2460867.406612764,2.51602908916307,0.00788265,6.851e-09,1.072e-09,1.2253e-08,2.1738e-06,3.1088e-05,3.2518e-05,5.4597e-06,0.0,615,7288.0
20423709,423709,423709 (2006 BQ6),Y,Y,19.75,2461200.5,0.4047513947059292,1.471779264635514,0.876074554575023,13.00239152089426,307.5924367855193,304.870178329045,67.70794952553425,2461077.840946845,1.78555084786832,0.0100694,2.2221e-08,2.9386e-09,3.4014e-08,7.1376e-06,7.7859e-06,9.8308e-06,1.4058e-05,0.0,625,6850.0
20424482,424482,424482 (2008 DG5),Y,Y,19.58,2461200.5,0.2434426199506213,1.256831349073991,0.9508650326193449,5.65493242319473,243.8273303368198,59.73725891542184,227.0280660201331,2461390.5953171654,1.40904125657112,0.018641,7.9206e-09,1.801e-09,1.0081e-08,2.4776e-06,5.664e-06,6.7671e-06,1.6866e-06,0.0,1581,9065.0
20425755,425755,425755 (2011 CP4),Y,Y,21.12,2461200.5,0.8703488202791065,0.9116938442863304,0.1182021824559993,9.471494147958268,147.9628457634251,159.9460848255703,105.6983243086939,2461107.1450045584,0.870525978461892,0.0191791,2.0385e-08,1.2332e-08,1.8586e-08,8.1426e-06,8.0104e-06,8.9151e-06,4.7306e-05,0.0,187,8449.0
20428209,428209,428209 (2006 VC),Y,Y,20.09,2461200.5,0.4920937619739887,1.941333736725263,0.9860155149731072,12.25331179399545,87.52305913889177,19.23851374816262,65.85755194229131,2461019.76102628,2.70494541132452,0.0183495,3.7508e-08,7.3914e-08,8.6702e-08,8.3423e-06,1.9282e-05,2.3113e-05,1.3939e-05,0.0,175,7113.0
